order_details_id,order_id,product_id,unit_price,quantity,discount
1,10248,11,14.0,12,0.0
2,10248,42,9.80000019,10,0.0
3,10248,72,34.7999992,5,0.0
4,10249,14,18.6000004,9,0.0
5,10249,51,42.4000015,40,0.0
6,10250,41,7.69999981,10,0.0
7,10250,51,42.4000015,35,0.150000006
8,10250,65,16.7999992,15,0.150000006
9,10251,22,16.7999992,6,0.0500000007
10,10251,57,15.6000004,15,0.0500000007
11,10251,65,16.7999992,20,0.0
12,10252,20,64.8000031,40,0.0500000007
13,10252,33,2.0,25,0.0500000007
14,10252,60,27.2000008,40,0.0
15,10253,31,10.0,20,0.0
16,10253,39,14.3999996,42,0.0
17,10253,49,16.0,40,0.0
18,10254,24,3.5999999,15,0.150000006
19,10254,55,19.2000008,21,0.150000006
20,10254,74,8.0,21,0.0
21,10255,2,15.1999998,20,0.0
22,10255,16,13.8999996,35,0.0
23,10255,36,15.1999998,25,0.0
24,10255,59,44.0,30,0.0
25,10256,53,26.2000008,15,0.0
26,10256,77,10.3999996,12,0.0
27,10257,27,35.0999985,25,0.0
28,10257,39,14.3999996,6,0.0
29,10257,77,10.3999996,15,0.0
30,10258,2,15.1999998,50,0.200000003
31,10258,5,17.0,65,0.200000003
32,10258,32,25.6000004,6,0.200000003
33,10259,21,8.0,10,0.0
34,10259,37,20.7999992,1,0.0
35,10260,41,7.69999981,16,0.25
36,10260,57,15.6000004,50,0.0
37,10260,62,39.4000015,15,0.25
38,10260,70,12.0,21,0.25
39,10261,21,8.0,20,0.0
40,10261,35,14.3999996,20,0.0
41,10262,5,17.0,12,0.200000003
42,10262,7,24.0,15,0.0
43,10262,56,30.3999996,2,0.0
44,10263,16,13.8999996,60,0.25
45,10263,24,3.5999999,28,0.0
46,10263,30,20.7000008,60,0.25
47,10263,74,8.0,36,0.25
48,10264,2,15.1999998,35,0.0
49,10264,41,7.69999981,25,0.150000006
50,10265,17,31.2000008,30,0.0
51,10265,70,12.0,20,0.0
52,10266,12,30.3999996,12,0.0500000007
53,10267,40,14.6999998,50,0.0
54,10267,59,44.0,70,0.150000006
55,10267,76,14.3999996,15,0.150000006
56,10268,29,99.0,10,0.0
57,10268,72,27.7999992,4,0.0
58,10269,33,2.0,60,0.0500000007
59,10269,72,27.7999992,20,0.0500000007
60,10270,36,15.1999998,30,0.0
61,10270,43,36.7999992,25,0.0
62,10271,33,2.0,24,0.0
63,10272,20,64.8000031,6,0.0
64,10272,31,10.0,40,0.0
65,10272,72,27.7999992,24,0.0
66,10273,10,24.7999992,24,0.0500000007
67,10273,31,10.0,15,0.0500000007
68,10273,33,2.0,20,0.0
69,10273,40,14.6999998,60,0.0500000007
70,10273,76,14.3999996,33,0.0500000007
